Volksabstimmung vom 25. November 2012;Abst.-Nr.;566;
Änderung des Tierseuchengesetzes (TSG);
101;Bezirk Affoltern;33.179;14.316;43,1;13.813;8.584;5.229;62,1;
102;Bezirk Andelfingen;21.334;8.215;38,5;7.928;5.002;2.926;63,1;
103;Bezirk Bülach;83.073;23.469;28,3;22.704;14.832;7.872;65,3;
104;Bezirk Dielsdorf;50.247;13.312;26,5;12.907;8.293;4.614;64,3;
105;Bezirk Hinwil;60.229;19.514;32,4;18.899;9.972;8.927;52,8;
106;Bezirk Horgen;74.636;25.736;34,5;24.816;16.880;7.936;68,0;
107;Bezirk Meilen;65.356;25.101;38,4;24.213;16.617;7.596;68,6;
108;Bezirk Pfäffikon;38.475;13.629;35,4;13.176;7.283;5.893;55,3;
109;Bezirk Uster;77.119;26.074;33,8;25.059;16.238;8.821;64,8;
110;Bezirk Winterthur;104.915;36.859;35,1;35.419;23.216;12.203;65,5;
111;Bezirk Dietikon;47.369;13.770;29,1;13.324;9.391;3.933;70,5;
112;Bezirk Zürich;229.090;79.367;34,6;75.248;56.827;18.421;75,5;
241;Arrondissement administratif Jura bernois;35.922;7.165;19,9;6.863;4.469;2.394;65,1;
242;Verwaltungskreis Biel/Bienne;62.463;12.050;19,3;11.780;8.131;3.649;69,0;
243;Verwaltungskreis Seeland;51.459;11.088;21,5;10.960;7.034;3.926;64,2;
244;Verwaltungskreis Oberaargau;57.132;10.971;19,2;10.818;6.800;4.018;62,9;
245;Verwaltungskreis Emmental;72.818;17.169;23,6;16.909;10.551;6.358;62,4;
246;Verwaltungskreis Bern-Mittelland;283.305;88.097;31,1;86.349;64.085;22.264;74,2;
247;Verwaltungskreis Thun;80.315;22.002;27,4;21.583;13.174;8.409;61,0;
248;Verwaltungskreis Obersimmental-Saanen;11.986;2.551;21,3;2.539;1.230;1.309;48,4;
249;Verwaltungskreis Frutigen-Niedersimmental;30.468;6.960;22,8;6.880;3.427;3.453;49,8;
250;Verwaltungskreis Interlaken-Oberhasli;33.912;7.148;21,1;7.040;3.756;3.284;53,4;
301;Amt Entlebuch;13.640;4.102;30,1;4.054;1.690;2.364;41,7;
302;Amt Hochdorf;43.205;11.118;25,7;10.941;6.846;4.095;62,6;
303;Amt Luzern;118.240;36.534;30,9;35.647;23.725;11.922;66,6;
304;Amt Sursee;49.630;12.777;25,7;12.593;7.540;5.053;59,9;
305;Amt Willisau;34.644;8.489;24,5;8.362;4.318;4.044;51,6;
400;Kanton Uri;25.796;7.024;27,2;6.892;2.878;4.014;41,8;
501;Bezirk Einsiedeln;10.230;2.535;24,8;2.521;1.298;1.223;51,5;
502;Bezirk Gersau;1.480;407;27,5;405;203;202;50,1;
503;Bezirk Höfe;17.712;6.693;37,8;6.595;3.963;2.632;60,1;
504;Bezirk Küssnacht (SZ);8.110;2.242;27,6;2.227;1.223;1.004;54,9;
505;Bezirk March;25.749;6.136;23,8;6.101;3.210;2.891;52,6;
506;Bezirk Schwyz;35.916;11.410;31,8;11.340;4.786;6.554;42,2;
600;Kanton Obwalden;25.444;8.181;32,2;7.909;4.017;3.892;50,8;
700;Kanton Nidwalden;30.476;7.900;25,9;7.708;4.101;3.607;53,2;
