Volksabstimmung vom 13. Februar 2011;;;;;;;Abst.-Nr.;554
Volksinitiative «Für den Schutz vor Waffengewalt»;;;;;;;;
;;;;;;;;
;;;;;;;;
;; Stimmbe-; Abgegebene ; Stimmbe- ; Gültige; Ja-Stimmen; Nein-Stimmen; Ja in %
;; rechtigte ; Stimmen ; teiligung ; Stimmen;;;
;;;;;;;;
;;;;;;;;
;Schweiz;5.092.212  ;2.506.938  ;49,2  ;2.479.124  ;1.083.312  ;1.395.812  ;43,7  
;;;;;;;;
Bezirks-Nr.;Bezirke;;;;;;;
;;;;;;;;
101;Affoltern;32558;17248; 53,0 ;16985;8485;8500; 50,0 
102;Andelfingen;21016;12048; 57,3 ;11860;4021;7839; 33,9 
103;Bülach;81749;38180; 46,7 ;37639;16255;21384; 43,2 
104;Dielsdorf;49484;22755; 46,0 ;22406;8761;13645; 39,1 
105;Hinwil;58793;29375; 50,0 ;28943;11311;17632; 39,1 
106;Horgen;73867;37308; 50,5 ;36738;18287;18451; 49,8 
107;Meilen;65158;35873; 55,1 ;35373;17062;18311; 48,2 
108;Pfäffikon;37740;20347; 53,9 ;20050;8111;11939; 40,5 
109;Uster;76659;37728; 49,2 ;37117;17863;19254; 48,1 
110;Winterthur;102708;52551; 51,2 ;51633;25472;26161; 49,3 
111;Dietikon;46553;20600; 44,3 ;20185;9064;11121; 44,9 
112;Zürich;226784;108982; 48,1 ;106211;69472;36739; 65,4 
241;Jura bernois;35781;16163; 45,2 ;16029;6870;9159; 42,9 
242;Biel/Bienne;61960;27057; 43,7 ;26894;12825;14069; 47,7 
243;Seeland;50715;26800; 52,8 ;26661;9253;17408; 34,7 
244;Oberaargau;56631;29240; 51,6 ;29024;8413;20611; 29,0 
245;Emmental;71795;37020; 51,6 ;36747;11701;25046; 31,8 
246;Bern-Mittelland;278469;156574; 56,2 ;155587;77500;78087; 49,8 
247;Thun;79584;42650; 53,6 ;42376;14676;27700; 34,6 
248;Obersimmental-Saanen;12045;6282; 52,2 ;6226;1409;4817; 22,6 
249;Frutigen-Niedersimmental;30155;16831; 55,8 ;16740;4661;12079; 27,8 
250;Interlaken-Oberhasli;33852;17748; 52,4 ;17675;5040;12635; 28,5 
301;Entlebuch;13452;8106; 60,3 ;8015;1278;6737; 15,9 
302;Hochdorf;42216;20858; 49,4 ;20675;7624;13051; 36,9 
303;Luzern;115954;56789; 49,0 ;56209;28241;27968; 50,2 
304;Sursee;48574;24855; 51,2 ;24531;8983;15548; 36,6 
305;Willisau;33909;17279; 51,0 ;17137;4415;12722; 25,8 
400;Kt. Uri;25705;11200; 43,6 ;11086;3226;7860; 29,1 
501;Einsiedeln;10023;4956; 49,4 ;4940;1383;3557; 28,0 
502;Gersau;1440;787; 54,7 ;784;232;552; 29,6 
503;Höfe;17770;9106; 51,2 ;9083;3250;5833; 35,8 
504;Küssnacht (SZ);8088;4757; 58,8 ;4725;1776;2949; 37,6 
505;March;25291;11485; 45,4 ;11456;3460;7996; 30,2 
506;Schwyz;35237;19075; 54,1 ;19013;4471;14542; 23,5 
600;Kt. Obwalden;25117;13548; 53,9 ;13236;3724;9512; 28,1 
700;Kt. Nidwalden;30265;15908; 52,6 ;15644;4885;10759; 31,2 
800;Kt. Glarus;25991;10837; 41,7 ;10820;3266;7554; 30,2 
900;Kt. Zug;71663;38436; 53,6 ;38316;16403;21913; 42,8 
1001;La Broye;17806;8521; 47,9 ;8458;3044;5414; 36,0 
1002;La Glâne;14106;6081; 43,1 ;6018;2050;3968; 34,1 
1003;La Gruyère;29760;13283; 44,6 ;13072;4950;8122; 37,9 
1004;La Sarine;58448;26970; 46,1 ;26663;13759;12904; 51,6 
1005;See / Lac;22037;11083; 50,3 ;11022;4090;6932; 37,1 
1006;Sense;30824;14733; 47,8 ;14697;5033;9664; 34,2 
1007;La Veveyse;10421;4816; 46,2 ;4768;1921;2847; 40,3 
1101;Gäu;12194;5871; 48,1 ;5842;1523;4319; 26,1 
1102;Thal;9666;5209; 53,9 ;5186;1024;4162; 19,7 
1103;Bucheggberg;5859;3297; 56,3 ;3275;869;2406; 26,5 
1104;Dorneck;13525;7055; 52,2 ;7010;3205;3805; 45,7 
1105;Gösgen;15335;7528; 49,1 ;7479;2629;4850; 35,2 
1106;Wasseramt;31453;14628; 46,5 ;14539;5074;9465; 34,9 
1107;Lebern;29381;13109; 44,6 ;13032;4445;8587; 34,1 
1108;Olten;33243;16954; 51,0 ;16819;6404;10415; 38,1 
1109;Solothurn;11310;5130; 45,4 ;5099;2688;2411; 52,7 
1110;Thierstein;10093;5102; 50,5 ;5084;1343;3741; 26,4 
1200;Kt. Basel-Stadt;107426;53468; 49,8 ;53035;31259;21776; 58,9 
1301;Arlesheim;102248;50944; 49,8 ;50199;25686;24513; 51,2 
1302;Laufen;13118;6476; 49,4 ;6434;2111;4323; 32,8 
1303;Liestal;35763;17399; 48,7 ;17074;7484;9590; 43,8 
1304;Sissach;24171;12507; 51,7 ;12380;4410;7970; 35,6 
1305;Waldenburg;10888;5434; 49,9 ;5401;1660;3741; 30,7 
1401;Oberklettgau;3061;1987; 64,9 ;1925;642;1283; 33,4 
1402;Reiat;5388;4010; 74,4 ;3811;1220;2591; 32,0 
1403;Schaffhausen;31983;20149; 63,0 ;19228;8433;10795; 43,9 
1404;Schleitheim;2177;1411; 64,8 ;1363;346;1017; 25,4 
1405;Stein;3552;2224; 62,6 ;2138;756;1382; 35,4 
1406;Unterklettgau;3333;2238; 67,1 ;2192;547;1645; 25,0 
1501;Hinterland;16347;8028; 49,1 ;7996;2639;5357; 33,0 
1502;Mittelland;11804;6577; 55,7 ;6543;2856;3687; 43,6 
1503;Vorderland;9308;4767; 51,2 ;4744;1789;2955; 37,7 
1600;Kt. Appenzell Innerrhoden;11016;4903; 44,5 ;4819;1312;3507; 27,2 
1721;St. Gallen;75093;37163; 49,5 ;36977;18324;18653; 49,6 
1722;Rorschach;25012;11740; 46,9 ;11689;4831;6858; 41,3 
1723;Rheintal;40199;18925; 47,1 ;18881;6159;12722; 32,6 
1724;Werdenberg;21287;10100; 47,4 ;10075;3484;6591; 34,6 
1725;Sarganserland;24647;11491; 46,6 ;11452;3348;8104; 29,2 
1726;See-Gaster;41659;19422; 46,6 ;19361;7630;11731; 39,4 
1727;Toggenburg;30217;15431; 51,1 ;15382;4659;10723; 30,3 
1728;Wil;45000;21262; 47,2 ;21185;8136;13049; 38,4 
1821;Albula;5979;2770; 46,3 ;2735;776;1959; 28,4 
1822;Bernina;3748;1921; 51,3 ;1890;434;1456; 23,0 
1823;Hinterrhein;9071;4245; 46,8 ;4205;1361;2844; 32,4 
1824;Imboden;12705;5616; 44,2 ;5568;2181;3387; 39,2 
1825;Inn;6814;3040; 44,6 ;3014;799;2215; 26,5 
1826;Landquart;17086;7240; 42,4 ;7143;2643;4500; 37,0 
1827;Maloja / Maloggia;11313;5120; 45,3 ;5064;1664;3400; 32,9 
1828;Moësa;5651;2703; 47,8 ;2687;573;2114; 21,3 
1829;Plessur;28221;11893; 42,1 ;11648;5395;6253; 46,3 
1830;Prättigau-Davos;17886;7868; 44,0 ;7749;2399;5350; 31,0 
1831;Surselva;16587;7148; 43,1 ;7081;2002;5079; 28,3 
1901;Aarau;45972;22031; 47,9 ;21914;9276;12638; 42,3 
1902;Baden;79409;37639; 47,4 ;37436;17471;19965; 46,7 
1903;Bremgarten;44613;20408; 45,7 ;20320;7953;12367; 39,1 
1904;Brugg;30144;16672; 55,3 ;16547;6525;10022; 39,4 
1905;Kulm;24215;10769; 44,5 ;10738;2822;7916; 26,3 
1906;Laufenburg;19726;9500; 48,2 ;9477;2896;6581; 30,6 
1907;Lenzburg;34585;16413; 47,5 ;16340;5675;10665; 34,7 
1908;Muri;21547;9337; 43,3 ;9313;3271;6042; 35,1 
1909;Rheinfelden;27774;11538; 41,5 ;11491;4603;6888; 40,1 
1910;Zofingen;42161;17614; 41,8 ;17560;5873;11687; 33,4 
1911;Zurzach;19491;9537; 48,9 ;9504;2990;6514; 31,5 
2011;Arbon;32158;15442; 48,0 ;14996;5890;9106; 39,3 
2012;Frauenfeld;40865;20810; 50,9 ;20403;7065;13338; 34,6 
2013;Kreuzlingen;22319;11132; 49,9 ;10940;3677;7263; 33,6 
2014;Münchwilen;28032;13157; 46,9 ;12861;4394;8467; 34,2 
2015;Weinfelden;33383;17559; 52,6 ;17240;5236;12004; 30,4 
2101;Bellinzona;29748;12744; 42,8 ;12633;4639;7994; 36,7 
2102;Blenio;4531;2204; 48,6 ;2187;494;1693; 22,6 
2103;Leventina;6109;3290; 53,9 ;3267;738;2529; 22,6 
2104;Locarno;40900;17010; 41,6 ;16882;6619;10263; 39,2 
2105;Lugano;85591;37995; 44,4 ;37683;14069;23614; 37,3 
2106;Mendrisio;32629;14550; 44,6 ;14453;5622;8831; 38,9 
2107;Riviera;7017;3025; 43,1 ;3011;787;2224; 26,1 
2108;Vallemaggia;4291;2002; 46,7 ;1986;596;1390; 30,0 
2221;Aigle;21524;10550; 49,0 ;10476;4509;5967; 43,0 
2222;Broye-Vully;21921;10908; 49,8 ;10825;3900;6925; 36,0 
2223;Gros-de-Vaud;24929;13238; 53,1 ;13111;6425;6686; 49,0 
2224;Jura-Nord vaudois;50124;24956; 49,8 ;24717;11675;13042; 47,2 
2225;Lausanne;76902;35895; 46,7 ;35498;23600;11898; 66,5 
2226;Lavaux-Oron;34507;18653; 54,1 ;18449;10047;8402; 54,5 
2227;Morges;43913;23631; 53,8 ;23430;11978;11452; 51,1 
2228;Nyon;46301;23834; 51,5 ;23628;12949;10679; 54,8 
2229;Ouest lausannois;30904;13969; 45,2 ;13836;7969;5867; 57,6 
