Volksabstimmung vom 8 Februar 2004;505;505;
Obligationenrecht (Miete) Änderung;
102;Andelfingen;19268 ;9852 ;9418 ;4711 ;
103;Bülach;73149 ;32599 ;31604 ;12799 ;
104;Dielsdorf;44560 ;18207 ;17660 ;7308 ;
105;Hinwil;52857 ;23565 ;22680 ;10241 ;
106;Horgen;71832 ;36265 ;35180 ;13766 ;
107;Meilen;63357 ;33509 ;32431 ;15632 ;
108;Pfäffikon;34699 ;16148 ;15632 ;6993 ;
109;Uster;70314 ;31914 ;30722 ;12883 ;
110;Winterthur;92699 ;46224 ;44515 ;18139 ;
111;Dietikon;44312 ;19973 ;19417 ;7980 ;
112;Zürich;217186 ;101229 ;98470 ;26922 ;
201;Aarberg;24065 ;10009 ;9658 ;4028 ;
202;Aarwangen;28958 ;11783 ;11448 ;4619 ;
203;Bern;168499 ;86312 ;83934 ;26635 ;
204;Biel;32465 ;13330 ;13101 ;3327 ;
205;Büren;15823 ;6096 ;5929 ;2458 ;
206;Burgdorf;32605 ;13747 ;13389 ;5353 ;
207;Courtelary;15460 ;5918 ;5719 ;1475 ;
208;Erlach;7434 ;3119 ;3013 ;1413 ;
209;Fraubrunnen;27212 ;12060 ;11740 ;4227 ;
210;Frutigen;13738 ;4839 ;4659 ;1903 ;
211;Interlaken;27151 ;10624 ;10201 ;4181 ;
212;Konolfingen;41686 ;16823 ;16252 ;6620 ;
213;Laupen;10879 ;4614 ;4467 ;2026 ;
214;Moutier;15458 ;6273 ;6098 ;1357 ;
215;La Neuveville;4214 ;1895 ;1812 ;541 ;
216;Nidau;29171 ;12742 ;12423 ;4703 ;
217;Niedersimmental;16201 ;6583 ;6338 ;2540 ;
218;Oberhasli;5619 ;2019 ;1920 ;819 ;
219;Obersimmental;6161 ;2006 ;1915 ;872 ;
220;Saanen;5583 ;1727 ;1644 ;833 ;
221;Schwarzenburg;7669 ;2686 ;2595 ;1001 ;
222;Seftigen;26588 ;11316 ;10985 ;4465 ;
223;Signau;18500 ;5672 ;5468 ;2255 ;
224;Thun;67643 ;28782 ;27899 ;11066 ;
225;Trachselwald;17727 ;6064 ;5847 ;2469 ;
226;Wangen;18946 ;7586 ;7382 ;3315 ;
301;Entlebuch;13029 ;6000 ;5684 ;2686 ;
302;Hochdorf;39298 ;19114 ;18435 ;8182 ;
